Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00354503259395966,1.64922598910877E-08,-0.0275714174379754,0,0,0,6.78274057781771,0.38334336762778,3.10138367273582E-09,-4.5823272153147E-05,0.525140168552664,6.6583744687218E-10,0.906714509360643,0,0,0,0,0,0,package://assem_gaz_v4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/base_link.STL,,body_gaz_assem-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0,1.33226762955019E-15,0.00799999999999956,0,0,0,0.49878272388527,0.000734460787133096,-6.1544862650644E-20,7.73295837821226E-20,0.000734460787133096,-2.06884830507117E-21,0.00138410570285403,0,0,0,0,0,0,package://assem_gaz_v4/meshes/left_wheel.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/left_wheel.STL,,wheel-1,Coordinate System3,Axis2,leftwheel,continuous,-0.0177919708029353,0.322461651584687,-0.0274999999999999,-1.5707963267949,0,0,base_link,0,0,-1,10,50,,,,,0.1,0.02,,,,
right_wheel,2.22044604925031E-16,1.33226762955019E-15,-0.00800000000000001,0,0,0,0.49878272388527,0.000734460787133096,-2.09326824053297E-20,8.70760391290352E-20,0.000734460787133096,7.18487423434696E-21,0.00138410570285403,0,0,0,0,0,0,package://assem_gaz_v4/meshes/right_wheel.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/right_wheel.STL,,wheel-2,Coordinate System2,Axis1,rightwheel,continuous,-0.0177919708029353,-0.322461651584691,-0.0274999999999997,-1.5707963267949,0,0,base_link,0,0,1,10,50,,,,,0.1,0.02,,,,
rear_caster,-0.0037104950061766,5.01555225606021E-05,-0.0365904486150335,0,0,0,0.0174787247499813,6.16393096918926E-06,-5.65503084569632E-09,-1.25291199910808E-06,5.86637436716775E-06,1.27361343250995E-08,4.41363584641845E-06,0,0,0,0,0,0,package://assem_gaz_v4/meshes/rear_caster.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/rear_caster.STL,,casterwheel-1,Coordinate System6,Axis3,rearcaster,continuous,-0.530291970803071,0,-0.0122000000000001,0,0,0,base_link,0,0,1,,,,,,,0.1,0.02,,,,
rear_caster_wheel,-4.84273659573375E-06,1.93265481762683E-06,-6.73028388020747E-07,0,0,0,0.0291885410390134,4.18965531573838E-06,6.26500529157608E-11,1.02364354017055E-08,4.18971902010473E-06,8.70690843632022E-12,5.73096598916081E-06,0,0,0,0,0,0,package://assem_gaz_v4/meshes/rear_caster_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/rear_caster_wheel.STL,,casterwheel_wheel-2,Coordinate System9,Axis6,rearcasterwheel,continuous,-0.0188852028678461,0.000125698183635503,-0.0711548485113878,-1.5707963267949,0,0,rear_caster,-0.00665576114394258,0,-0.99997785017649,,,,,,,0.1,0.02,,,,
front_left_caster,-0.00371074367481083,2.54560444160612E-05,-0.0365904470267213,0,0,0,0.0174787254884847,6.16399275587575E-06,-3.67237838394349E-09,-1.25296802620584E-06,5.86631142641388E-06,4.39660264311752E-09,4.41363604505509E-06,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_left_caster.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_left_caster.STL,,casterwheel-2,Coordinate System4,Axis4,frontleftcaster,continuous,0.292208029197065,0.112499999999998,-0.0122000000000001,0,0,0,base_link,0,0,1,,,,,,,0.1,0.02,,,,
front_left_caster_wheel,-3.44556799292128E-06,3.90780110404165E-06,-7.05245578602742E-07,0,0,0,0.0291885410390134,4.18966455365136E-06,9.0130042686701E-11,-1.62658775163228E-11,4.18964180143456E-06,1.84479929634964E-11,5.73103396991803E-06,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_left_caster_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_left_caster_wheel.STL,,casterwheel_wheel-1,Coordinate System7,Axis7,frontleftcasterwheel,continuous,-0.0192063767888309,0,-0.0706999098941257,-1.5707963267949,0,0,front_left_caster,0,0,-1,,,,,,,0.1,0.02,,,,
front_right_caster,-0.00371074367481083,2.54560444162832E-05,-0.0365904470267214,0,0,0,0.0174787254884847,6.16399275587579E-06,-3.67237838401196E-09,-1.25296802620587E-06,5.86631142641392E-06,4.39660264322298E-09,4.41363604505512E-06,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_right_caster.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_right_caster.STL,,casterwheel-3,Coordinate System5,Axis5,frontrightcaster,continuous,0.292208029197064,-0.112429000000002,-0.0122000000000001,0,0,0,base_link,0,0,1,,,,,,,0.1,0.02,,,,
front_right_caster_wheel,-3.44556799292128E-06,3.90780110415268E-06,7.05245578547231E-07,0,0,0,0.0291885410390134,4.18966455365134E-06,9.01300426863643E-11,1.62658775169233E-11,4.18964180143454E-06,-1.84479929634777E-11,5.73103396991802E-06,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_right_caster_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/front_right_caster_wheel.STL,,casterwheel_wheel-3,Coordinate System8,Axis8,frontrightcasterwheel,continuous,-0.0192063767888306,-7.10000000001543E-05,-0.0706999098941257,-1.5707963267949,0,0,front_right_caster,0,0,-1,,,,,,,0.1,0.02,,,,
platform,-0.210980033273781,-0.230327174996455,0.114,0,0,0,4.19622278759594,0.313036750912418,-2.45442859314821E-09,3.21425440247246E-16,0.350307662080967,1.39126816336622E-16,0.121664874796483,0,0,0,0,0,0,package://assem_gaz_v4/meshes/platform.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem_gaz_v4/meshes/platform.STL,,platform_gaz_assem-1,Coordinate System10,Axis9,platformjoint,revolute,0.484389872406691,-0.113000000000171,0.000924541981120797,-1.5707963267949,0.000638648234763699,0,base_link,0,0,1,142,8,0,0.5236,,,0.1,0.02,,,,
